,STATE/UT,YEAR,RESIDENTIAL PREMISES - Dacoity,RESIDENTIAL PREMISES - Robbery,RESIDENTIAL PREMISES - Burglary,RESIDENTIAL PREMISES - Theft,HIGHWAYS - Dacoity,HIGHWAYS - Robbery,HIGHWAYS - Burglary,HIGHWAYS - Theft,RIVER and SEA - Dacoity,RIVER and SEA - Robbery,RIVER and SEA - Burglary,RIVER and SEA - Theft,RAILWAYS - Dacoity,RAILWAYS - Robbery,RAILWAYS - Burglary,RAILWAYS - Theft,BANKS - Dacoity,BANKS - Robbery,BANKS - Burglary,BANKS - Theft,COMMERCIAL ESTABLISHMENTS - Dacoity,COMMERCIAL ESTABLISHMENTS - Robbery,COMMERCIAL ESTABLISHMENTS - Burglary,COMMERCIAL ESTABLISHMENTS - Theft,OTHER PLACES - Dacoity,OTHER PLACES - Robbery,OTHER PLACES - Burglary,OTHER PLACES - Theft,TOTAL - Dacoity,TOTAL - Robbery,TOTAL - Burglary,TOTAL - Theft
57,ODISHA,2002.0,94.0,223.0,1957.0,1760.0,33.0,213.0,6.0,92.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,486.0,2.0,6.0,12.0,0.0,12.0,144.0,427.0,470.0,103.0,343.0,482.0,2460.0,246.0,945.0,2884.0,5268
58,PUNJAB,2002.0,17.0,17.0,1130.0,565.0,0.0,5.0,0.0,894.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0,3.0,18.0,19.0,0.0,3.0,19.0,506.0,161.0,27.0,51.0,273.0,1314.0,50.0,110.0,1928.0,2963
59,RAJASTHAN,2002.0,6.0,27.0,3902.0,3054.0,17.0,72.0,0.0,80.0,0.0,0.0,0.0,0.0,2.0,8.0,3.0,733.0,0.0,0.0,39.0,1.0,6.0,16.0,1489.0,1039.0,16.0,611.0,1228.0,11406.0,47.0,734.0,6661.0,16313
60,SIKKIM,2002.0,0.0,1.0,41.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,22.0,45.0,0.0,5.0,66.0,64
61,TAMIL NADU,2002.0,64.0,193.0,3539.0,4180.0,36.0,65.0,0.0,78.0,0.0,0.0,0.0,44.0,0.0,21.0,6.0,231.0,0.0,2.0,48.0,42.0,10.0,41.0,553.0,2845.0,66.0,331.0,1387.0,11335.0,176.0,653.0,5533.0,18755
62,UTTAR PRADESH,2002.0,259.0,381.0,4480.0,6588.0,63.0,1322.0,0.0,3096.0,0.0,3.0,0.0,0.0,15.0,46.0,1.0,2845.0,3.0,17.0,6.0,4.0,5.0,11.0,280.0,815.0,207.0,1060.0,1359.0,9071.0,552.0,2840.0,6126.0,22419
63,UTTARAKHAND,2002.0,23.0,46.0,364.0,461.0,2.0,65.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,1.0,1.0,1.0,2.0,0.0,10.0,73.0,184.0,6.0,54.0,116.0,549.0,32.0,177.0,554.0,1365
64,WEST BENGAL,2002.0,55.0,64.0,199.0,4613.0,21.0,40.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,31.0,0.0,529.0,9.0,6.0,2.0,3.0,16.0,52.0,47.0,1339.0,95.0,351.0,100.0,5958.0,204.0,544.0,348.0,12449
65,TOTAL (STATES),2002.0,2811.0,3696.0,63360.0,66120.0,884.0,4139.0,325.0,6634.0,6.0,11.0,2.0,89.0,159.0,416.0,167.0,13382.0,67.0,123.0,508.0,500.0,418.0,997.0,13815.0,21197.0,1671.0,8783.0,15115.0,120280.0,6016.0,18165.0,93292.0,228202
66,A & N ISLANDS,2002.0,0.0,0.0,44.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,7.0,0.0,30.0,1.0,7.0,49.0,49
67,CHANDIGARH,2002.0,0.0,2.0,207.0,586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,92.0,65.0,0.0,23.0,34.0,995.0,1.0,26.0,336.0,1647
