,DISTRICT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Criminal Trespass/Burglary,Crime Index
501,GOMATI,40,15,0,57,0,57,46,42,4,3,0,12,28.0,227,79,148,47,7,32,3,24,620,10,79,2,321,0,0,588,2196,35.0,7.904403666188773e-05
502,GONDA,567,656,313,241,0,241,846,709,137,99,4,294,959.0,2058,748,1310,633,501,1712,21,47,2860,403,341,384,138,0,1009,6929,21100,85.0,0.0010016226656065
503,GONDIA,463,217,21,400,0,400,234,218,16,72,11,216,2278.0,4246,683,3563,523,139,444,46,306,4601,36,1059,256,723,0,1464,7672,25601,174.0,0.0012284004498431
504,GOPALGANJ,1004,1215,74,262,0,262,1054,672,382,187,21,468,788.0,2493,633,1860,2969,378,1092,1,156,6003,413,134,23,1312,0,1132,14039,35321,103.0,0.0013172146379329
505,GORAKHPUR,1233,1012,460,466,0,466,1609,1391,218,70,7,627,1887.0,7549,4821,2728,1829,1012,2471,115,41,4180,431,550,359,1630,0,3307,11007,42046,194.0,0.0026410028779183
506,GRP,289,57,7,17,0,17,49,30,19,26,17,155,16.0,4404,795,3609,147,35,91,8,0,183,80,65,1409,2,0,209,5929,13196,1.0,0.0008464784370362
507,GRP RAIPUR,39,26,3,21,0,21,18,15,3,3,0,54,79.0,2856,137,2719,25,4,19,6,4,149,4,38,6,14,0,12,891,4273,2.0,0.0005036600030886
508,GRP(RLY),71,17,1,23,0,23,134,60,74,8,13,79,9.0,5862,230,5632,7,48,87,4,4,63,5,38,9,2,0,4,714,7202,0.0,0.0010291215231191
509,GULBARGA,1270,1320,36,360,1,359,648,477,171,126,77,739,2558.0,3718,1401,2317,5798,126,1008,24,567,14059,103,1389,7,1656,0,202,25618,61604,195.0,0.001893345075631
510,GUMLA,1941,569,86,557,0,557,388,272,116,226,12,477,292.0,1053,327,726,425,92,187,22,94,677,13,117,0,143,2,704,3200,11291,14.0,0.0008475089467938
