,DISTRICT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Criminal Trespass/Burglary,Crime Index
1255,REWA,73,35,4,110,0,110,272,3,35,4,3,97,0.0,562,293,269,44,12,19,4,29,139,36,169,1,90,0,214,3912,6678,641.0,0.0001833125892375
1256,REWARI,27,28,5,41,0,41,114,83,31,10,2,53,0.0,670,474,196,64,27,89,0,10,121,11,65,35,105,0,240,382,2781,224.0,0.0001797419057462
1257,RI-BHOI,10,2,1,28,0,28,7,0,4,13,0,8,0.0,89,22,67,3,1,12,0,8,19,0,11,0,0,0,29,49,360,14.0,2.657008597943297e-05
1258,ROHTAK,76,60,7,68,0,68,85,8,73,9,3,43,0.0,984,720,264,110,38,29,2,9,73,16,98,0,168,0,185,1093,3820,342.0,0.0002452350672834
1259,ROHTAS,115,5,6,22,0,22,161,115,24,11,2,31,0.0,726,219,507,294,23,137,0,11,1468,54,0,0,106,0,208,1440,5197,185.0,0.0002155307876145
1260,ROPAR,22,11,1,21,0,21,39,22,3,0,3,4,0.0,114,53,61,0,7,119,0,3,82,2,52,2,37,0,173,227,1122,76.0,4.450226851298308e-05
1261,ROURKELA,55,50,0,73,0,73,98,22,31,24,9,106,0.0,488,203,285,37,4,84,0,3,17,4,174,11,139,0,163,599,2670,226.0,0.00014684435858
1262,RUDRA PRAYAG,4,1,1,4,0,4,7,0,7,0,0,1,0.0,10,1,9,5,2,3,0,0,3,1,9,0,2,0,7,18,97,14.0,5.185367570096849e-06
1263,S.T.F.,1,17,0,1,0,1,0,0,0,0,10,0,0.0,2,0,2,0,1,80,5,0,0,0,1,0,0,0,0,40,158,0.0,7.59754805365456e-06
1264,SAGAR,1009,1322,14,1637,0,1637,580,523,57,18,28,648,4879.0,6525,1884,4641,1350,147,481,8,473,33627,439,5025,287,1863,0,2233,40127,103033,313.0,0.0024314812093043
1265,SAHARANPUR,1042,1220,301,245,0,245,823,652,171,43,77,535,712.0,5203,2302,2901,1039,679,2499,87,8,493,302,417,583,2028,0,1647,15263,35323,77.0,0.0017562544590879
1266,SAHARSA,516,1495,51,211,0,211,640,289,351,88,8,506,486.0,1595,237,1358,2864,499,625,6,138,2913,146,334,2,330,7,529,9090,23108,29.0,0.0009294114993756
1267,SAHEBGANJ,679,605,37,694,0,694,505,308,197,61,4,142,320.0,1296,217,1079,706,133,409,14,82,1810,68,197,3,438,2,417,3841,12499,36.0,0.0007346812558492
1268,SAIHA,25,16,6,37,0,37,8,4,4,2,0,4,261.0,581,6,575,10,13,32,3,18,132,2,65,1,0,0,13,782,2028,17.0,0.0001357581739902
1269,SALEM RURAL,860,1039,19,428,0,428,1054,979,75,69,20,302,1043.0,2985,825,2160,2677,23,633,26,464,23308,80,1754,46,1040,0,5691,32648,76313,104.0,0.0013636729058584
1270,SALEM URBAN,270,289,0,170,0,170,283,223,60,20,5,297,557.0,3635,1604,2031,329,76,644,29,21,3296,53,149,193,362,0,1605,21093,33443,67.0,0.0009422961532239
1271,SAMASTIPUR,1379,2380,280,417,0,417,1480,561,919,233,146,675,1041.0,4368,876,3492,3880,470,597,7,576,4356,529,133,32,721,211,1671,22465,48120,73.0,0.0019217661409202
1272,SAMBA,43,105,2,29,0,29,49,48,1,0,0,1,143.0,241,83,158,151,5,61,1,24,23,6,57,41,35,0,4,3224,4274,29.0,9.691058163125938e-05
1273,SAMBALPUR,561,763,1,407,0,407,246,189,57,198,43,958,1927.0,4116,988,3128,864,148,443,11,127,2402,40,863,98,349,0,1854,12557,29223,247.0,0.0013136866188583
1274,SAMBHAL,78,75,16,42,0,42,131,112,19,6,0,56,0.0,316,155,161,68,40,102,1,0,65,30,94,0,88,0,84,927,2284,65.0,0.0001275600422243
1275,SANGLI,874,377,33,506,0,506,320,181,139,120,35,361,2573.0,6984,2129,4855,1958,294,2107,71,364,5436,115,768,135,1244,0,3831,8099,36862,257.0,0.002096129048282
1276,SANGRUR,481,596,98,345,0,345,338,214,124,38,75,83,1416.0,2318,935,1383,0,238,1653,28,52,2788,103,248,31,638,0,1865,7297,20849,120.0,0.0009078036132481
1277,SANT KABIRNAGAR,234,195,84,139,0,139,374,354,20,5,0,131,268.0,652,228,424,301,197,373,17,27,1467,92,110,151,213,0,603,2623,8268,12.0,0.0003614201196357
1278,SARAIKELA,709,586,82,334,0,334,243,140,103,150,13,239,401.0,2136,532,1604,412,116,320,2,13,906,60,112,2,252,0,805,3662,11595,40.0,0.0007432732130002
1279,SARAN,1600,2672,148,335,0,335,1470,905,565,428,34,820,1396.0,5445,1043,4402,3942,487,1168,16,439,14465,846,208,2,1386,3,1724,13790,52966,142.0,0.0022276273443571
1280,SARGUJA,888,407,26,1221,0,1221,218,197,21,87,9,410,2299.0,2569,717,1852,704,60,336,10,201,1777,15,1508,26,498,0,802,13461,27620,88.0,0.0012328309854251
1281,SAS NGR,194,229,40,184,0,184,330,208,122,14,25,33,1137.0,2955,1567,1388,0,117,1998,3,0,1113,39,169,10,471,2,3080,4006,16329,180.0,0.0009182071671704
1282,SAS NAGAR,26,35,3,59,0,59,124,75,49,7,2,6,0.0,433,253,180,0,17,287,0,0,146,5,57,0,74,0,209,742,2408,167.0,0.0001429422053896
1283,SATARA,790,466,53,458,1,457,386,281,105,332,56,1173,4140.0,11253,3451,7802,2531,601,1667,64,329,6111,77,1048,191,2362,0,5249,14841,54786,608.0,0.003064864012357
1284,SATNA,876,667,22,1110,0,1110,303,172,131,49,46,630,4787.0,5885,2694,3191,593,143,369,7,297,12321,403,2400,110,1232,0,3149,33088,68880,393.0,0.0020569499862239
1285,SAWAI MADHOPUR,306,348,17,284,0,284,829,629,200,6,14,170,1023.0,5818,3224,2594,293,98,2661,6,158,236,90,529,0,1930,0,982,28810,44651,43.0,0.0016547328385731
1286,SBS NAGAR,113,96,16,93,0,93,68,44,24,7,13,97,333.0,532,157,375,0,32,449,8,8,925,15,40,5,159,0,535,860,4479,75.0,0.0002170831160073
1287,SBS NAGAR,15,12,3,20,0,20,18,2,16,1,0,7,0.0,80,22,58,0,2,83,1,1,44,2,18,1,35,0,81,98,659,85.0,3.062648744566063e-05
1288,SEALDAH G.R.P.,209,65,22,21,0,21,81,46,35,18,210,119,0.0,3344,7,3337,135,22,101,9,0,312,11,101,3,12,0,4,594,5393,0.0,0.0006483777045892
1289,SECUNDERABAD RLY.,111,10,1,7,0,7,11,5,6,8,0,55,6.0,5556,0,5556,16,5,63,174,2,148,8,31,10,5,0,35,750,7012,0.0,0.0009572910547604
1290,SENAPATI,146,157,4,7,0,7,111,12,99,11,113,15,28.0,178,22,156,49,21,38,3,98,41,0,2,0,1,0,2,816,1843,2.0,9.810846717751595e-05
1291,SEONI,443,276,38,783,0,783,159,132,27,6,7,129,1311.0,1628,460,1168,415,83,316,2,92,4136,152,1389,172,348,0,1380,18726,32079,88.0,0.0007508248147589
1292,SERCHHIP,23,15,1,59,0,59,3,2,1,1,0,2,238.0,378,12,366,2,14,16,1,13,85,0,60,0,1,1,7,255,1191,16.0,0.0001025291571249
1293,SHAHDOL,534,267,22,836,0,836,285,234,51,20,21,352,2982.0,3033,604,2429,313,101,288,1,184,3832,162,2122,113,1251,0,211,25619,42843,294.0,0.0011867370059808
1294,SHAHJAHANPUR,1652,1707,370,501,0,501,1306,1012,294,89,5,464,705.0,2993,870,2123,466,520,1190,34,121,2601,612,707,277,580,0,2350,11643,30940,47.0,0.0014710526789761
1295,SHAJAPUR,450,575,25,870,0,870,212,163,49,40,32,587,2527.0,6338,1636,4702,866,241,246,7,358,14743,114,1895,314,782,0,1384,13011,45742,125.0,0.0017794704655378
1296,SHAMLI,63,75,8,34,0,34,91,87,4,7,1,43,0.0,266,172,94,108,14,47,0,0,7,11,66,0,52,0,53,441,1410,23.0,0.0001046459685696
1297,SHEIKHPURA,363,307,16,67,0,67,282,130,152,77,1,117,170.0,948,99,849,1036,226,328,1,46,1261,96,32,0,256,1,265,5556,11483,31.0,0.000430447864004
1298,SHEOHAR,207,198,17,93,0,93,271,174,97,113,4,76,134.0,503,87,416,751,72,151,4,52,1525,64,48,1,131,1,80,2212,6722,14.0,0.0002897077988925
1299,SHEOPUR,198,245,2,247,0,247,114,49,65,21,16,129,589.0,1057,232,825,458,33,136,6,35,4834,41,534,9,295,0,357,6579,15979,44.0,0.0004041895564544
1300,SHIMLA,205,139,14,341,0,341,315,273,42,7,0,50,1618.0,2334,631,1703,1321,302,454,5,279,846,6,544,54,364,0,1191,15051,25601,161.0,0.0008630913045297
1301,SHIMOGA,628,684,23,238,0,238,365,267,98,96,46,601,2521.0,4322,1765,2557,3518,137,1010,26,160,14118,63,1386,46,2573,0,94,28494,61340,191.0,0.0016119699655108
1302,SHIVPURI,877,744,28,1002,0,1002,365,235,130,65,90,521,2177.0,3422,1421,2001,979,115,325,5,357,10747,173,1926,67,589,0,2012,29064,55790,140.0,0.001406048517292
1303,SHOPIAN,34,135,0,36,0,36,197,193,4,2,0,32,154.0,584,49,535,310,19,52,7,50,14,0,326,36,4,0,42,918,2965,13.0,0.0002001092419108
1304,SHRAWASTI,249,176,108,132,0,132,293,261,32,32,21,86,307.0,639,67,572,199,110,329,4,17,1307,126,228,77,104,0,384,1582,6551,41.0,0.0003230549633734
1305,SIANG EAST,59,24,4,110,0,110,97,65,32,32,0,110,311.0,737,148,589,38,27,55,5,15,562,0,111,0,14,0,69,694,3091,17.0,0.0002243524762401
1306,SIANG UPPER,24,14,1,21,0,21,20,19,1,1,0,10,96.0,161,9,152,6,24,18,1,13,161,0,32,0,4,0,14,159,785,5.0,5.176834686753652e-05
1307,SIANG WEST,69,51,6,60,0,60,96,75,21,16,2,80,269.0,575,74,501,69,60,57,4,47,691,0,131,7,38,0,80,998,3423,17.0,0.0001843627902644
1308,SIBSAGAR,906,369,15,715,0,715,1357,1144,213,56,3,338,1212.0,4773,712,4061,584,265,746,39,281,3709,43,669,0,1623,0,1012,8621,27491,155.0,0.0016470630891988
1309,SIDHARTHNAGAR,215,117,128,120,0,120,393,382,11,31,2,96,471.0,979,388,591,228,180,374,26,10,766,157,224,175,334,0,640,3666,9359,27.0,0.0004248817985616
1310,SIDHI,538,224,29,603,0,603,408,368,40,26,9,227,3021.0,2936,387,2549,346,75,307,8,161,5924,280,1523,49,639,0,1333,23040,41862,156.0,0.0011315194051157
1311,SIHORE,441,606,14,901,0,901,288,261,27,39,17,248,2259.0,4433,1247,3186,480,114,340,2,228,4747,121,1338,170,688,1,1779,26408,45836,174.0,0.0013987496201554
1312,SIKAR,615,420,20,449,0,449,1013,677,336,12,9,111,2024.0,5706,1827,3879,2236,154,6137,9,400,4754,204,367,0,2750,0,3459,29846,60945,250.0,0.0021626592833333
1313,SILIGURI G.R.P.,46,4,6,2,0,2,34,24,10,13,6,16,1.0,1327,0,1327,26,3,7,4,0,0,3,42,3,1,0,0,458,2002,0.0,0.0002377392574543
1314,SILIGURI_PC,72,21,18,56,0,56,245,226,19,6,5,54,3.0,1976,646,1330,14,165,429,0,5,1163,8,241,36,986,0,179,2509,8198,7.0,0.0004649371221015
1315,SIMDEGA,828,248,23,285,0,285,165,129,36,122,20,201,134.0,500,101,399,127,48,113,1,50,390,7,42,4,57,1,202,1358,4939,13.0,0.0003804714226385
1316,SINDHUDURG,166,75,16,109,0,109,67,47,20,28,2,107,1128.0,1458,232,1226,542,151,436,21,160,1694,10,248,132,117,0,973,2842,10572,90.0,0.0004942541401418
1317,SINGRAULI,210,95,18,244,0,244,200,185,15,19,4,63,520.0,893,238,655,195,23,69,0,34,1894,97,585,14,380,0,740,7339,13767,131.0,0.000358660060062
1318,SIPAHIJALA,25,13,0,50,0,50,48,37,11,2,0,16,37.0,162,17,145,43,4,30,1,26,512,4,115,1,273,0,5,519,1930,44.0,6.261167246981498e-05
1319,SIRMAUR,113,61,5,153,0,153,161,139,22,4,1,19,523.0,668,282,386,808,91,244,3,69,615,6,369,31,282,0,708,5261,10229,34.0,0.0003316239473769
1320,SIROHI,365,341,20,280,0,280,517,462,55,15,4,139,1221.0,1816,471,1345,493,202,1847,14,178,6114,71,747,4,1644,0,1804,8496,26397,65.0,0.0008368920707879
1321,SIRSA,472,379,28,341,0,341,527,338,189,36,23,160,2056.0,4469,2487,1982,353,240,526,17,115,4046,106,274,14,1640,2,164,9013,25229,228.0,0.0013443229519386
1322,SITAMARHI,875,316,53,315,0,315,1144,773,371,331,36,474,997.0,4158,1340,2818,2585,364,375,44,255,5976,312,159,2,682,28,805,20225,40714,203.0,0.0015455119317802
1323,SITAPUR,1527,1679,475,777,0,777,1777,1533,244,45,4,644,1356.0,5593,1052,4541,820,669,1127,18,241,3298,840,1082,271,1330,0,2516,15512,41732,131.0,0.0021445794162804
1324,SIVAGANGAI,422,596,11,77,0,77,367,292,75,34,2,230,1099.0,3145,625,2520,556,61,691,20,204,4398,48,231,109,558,0,2415,22046,37446,126.0,0.0009180955833113
1325,SIWAN,1246,1143,75,206,0,206,1423,973,450,381,24,1000,939.0,3257,970,2287,2952,238,988,32,269,4851,609,117,9,754,5,1135,14473,36245,119.0,0.0016034042633855
1326,SOLAN,111,70,24,154,0,154,168,143,25,10,0,20,892.0,1151,535,616,707,182,178,7,79,3833,7,256,15,277,0,656,6349,15243,97.0,0.0004446715241614
1327,SOLAPUR COMMR.,275,284,12,266,0,266,220,148,72,173,33,675,2091.0,5148,2283,2865,1097,129,1273,31,70,2376,23,275,92,839,0,1137,5704,22472,249.0,0.0014849547150691
1328,SOLAPUR RURAL,1155,603,68,671,0,671,432,304,128,290,92,748,2797.0,7907,2127,5780,3450,334,1078,53,440,8601,70,974,222,1867,0,5740,13857,51789,340.0,0.0024642671726115
1329,SONBHADRA,372,204,225,197,0,197,220,178,42,16,3,82,380.0,928,341,587,130,256,555,12,41,1189,162,202,185,202,0,1297,2420,9311,33.0,0.0004229323629055
1330,SONEPUR,150,247,2,144,0,144,79,57,22,24,0,104,325.0,637,87,550,313,20,184,1,54,718,24,585,26,155,5,257,2348,6447,45.0,0.0002607058411603
1331,SONIPAT,994,671,44,344,0,344,625,461,164,85,200,523,2317.0,7474,4336,3138,76,217,1019,15,144,3494,274,377,338,1617,0,3259,11728,36162,327.0,0.0020919413716875
1332,SONITPUR,1210,289,14,991,0,991,1950,1785,165,196,7,332,2063.0,5316,557,4759,1354,494,734,25,233,3600,104,450,0,2617,1,3310,12330,37806,186.0,0.0021098472991953
1333,SOPORE,63,175,3,35,0,35,148,140,8,2,0,16,219.0,537,40,497,206,12,31,3,33,5,0,235,34,19,0,0,683,2530,71.0,0.0001818423077999
1334,SOUTH,1175,879,111,1646,0,1646,3267,2217,1050,71,321,1101,5034.0,42410,23175,19235,873,993,4243,67,242,5332,299,2874,484,3327,0,1301,45219,121774,505.0,0.0098886600500851
1335,SOUTH GOA,205,152,23,219,0,219,181,126,55,34,0,152,1582.0,3846,1376,2470,409,270,583,63,138,1107,8,203,70,122,0,1244,4743,15520,166.0,0.0010305064757233
1336,SOUTH WEST,202,191,17,246,0,246,515,334,181,19,24,233,1457.0,6517,3011,3506,90,150,734,10,33,642,70,242,65,289,0,248,9320,21314,0.0,0.0015690167435125
1337,SOUTH-EAST,329,261,41,621,0,621,2604,1493,1111,10,67,418,886.0,15632,10030,5602,50,280,1229,27,39,1427,92,925,235,730,0,1533,12126,39802,240.0,0.0038127023179459
1338,SOUTH-WEST,485,375,69,695,0,695,2460,1579,881,17,48,472,1748.0,12367,7348,5019,71,238,1421,16,51,1175,148,919,233,1612,0,508,18665,44056,263.0,0.0033017138808167
1339,SPL CELL,0,11,0,0,0,0,0,0,0,0,1,0,0.0,1,0,1,0,2,73,6,0,0,0,0,0,0,0,0,39,133,0.0,5.913944532477545e-06
1340,SPL NARCOTIC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,7.220132059628525e-08
1341,SPUWAC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,160,0,0,0,161,0.0,4.922817313383084e-08
1342,SRIKAKULAM,440,285,40,316,1,315,243,223,20,25,0,77,1437.0,2887,176,2711,491,235,1035,54,326,14173,86,1100,729,2968,0,3484,14513,45134,190.0,0.0009290833115547
1343,SRINAGAR,458,1108,32,251,0,251,1355,1188,167,29,0,395,3383.0,5666,3405,2261,2261,192,1029,58,384,277,0,2728,1278,339,0,590,14480,36525,232.0,0.0020473931568796
1344,SRP (CUTTACK),0,2,0,0,0,0,2,0,0,1,2,19,0.0,438,17,421,3,1,3,0,0,1,0,9,1,1,0,5,46,546,2.0,7.487933321476563e-05
1345,SRP (ROURKELA),4,2,0,1,0,1,5,1,4,1,0,21,0.0,320,44,276,0,0,3,0,0,0,0,10,1,0,0,3,58,460,30.0,5.772823769493897e-05
1346,SRP(CUTTACK),37,31,1,8,0,8,37,19,18,14,15,145,98.0,4488,509,3979,12,6,63,2,2,334,1,76,7,11,0,5,1099,6498,6.0,0.0007959309488624
1347,SRP(ROURKELA),79,30,1,16,0,16,29,25,4,15,22,122,156.0,2249,250,1999,30,8,29,3,0,49,3,80,3,13,0,39,1343,4336,17.0,0.000430306743241
1348,ST.RAVIDASNAGAR,209,233,98,32,0,32,112,87,25,21,0,110,335.0,785,308,477,174,134,235,7,14,883,125,64,58,240,0,656,1336,5884,23.0,0.0002847751359445
1349,STF,1,41,0,0,0,0,1,0,1,1,2,2,0.0,1,0,1,0,1,46,24,1,0,0,0,0,0,0,0,88,209,0.0,6.967427437541526e-06
1350,SUBANSIRI LOWER,56,31,4,21,0,21,45,27,18,14,0,65,156.0,231,28,203,27,22,23,2,20,281,0,49,0,2,0,33,479,1569,8.0,8.59130077531616e-05
1351,SUBANSIRI UPPER,55,27,1,36,0,36,43,34,9,13,0,64,134.0,210,10,200,23,29,35,1,26,530,0,73,0,14,0,41,571,1931,5.0,8.384542448154068e-05
1352,SUKMA,54,56,0,9,0,9,12,8,4,10,0,4,8.0,20,10,10,4,0,5,0,14,18,1,4,1,6,0,31,154,418,7.0,2.066926895979111e-05
1353,SULTANPUR,750,1051,291,294,0,294,671,587,84,38,6,378,1080.0,2897,1065,1832,613,497,675,15,101,3307,252,393,256,878,0,1796,6736,23075,100.0,0.0011145947591923
1354,SUNDARGARH,852,615,15,409,0,409,264,204,60,124,24,473,884.0,2193,359,1834,485,111,261,9,113,6325,53,820,84,193,0,2290,3294,19962,71.0,0.0008544468373274
1355,SUPAUL,543,624,63,381,0,381,698,402,296,252,19,389,475.0,1999,277,1722,3203,412,459,6,109,3738,153,219,0,397,9,444,8978,23632,62.0,0.0010320949047764
1356,SURAJPUR,453,158,8,603,0,603,142,122,20,35,5,155,798.0,924,165,759,285,43,197,7,76,3297,27,637,21,422,0,835,3844,13043,71.0,0.0005203220987553
1357,SURAT COMMR.,1207,325,37,387,0,387,1459,958,501,247,46,919,4739.0,24910,16596,8314,1266,596,2533,284,109,7174,159,471,47,3400,0,4057,54611,109347,364.0,0.0059999133321602
1358,SURAT RURAL,673,116,7,142,0,142,247,192,55,136,14,209,941.0,2982,1339,1643,344,310,372,53,93,2517,11,134,5,756,0,4763,14875,29842,142.0,0.0008983124214679
1359,SURENDRANAGAR,416,243,6,224,0,224,512,452,60,87,5,220,1307.0,3152,997,2155,828,709,181,90,123,6187,13,535,37,1316,0,2290,20665,39268,122.0,0.0010255409939932
1360,SABARKANTHA,22,10,1,10,0,10,37,9,2,4,0,20,0.0,197,102,95,26,13,36,3,2,34,0,33,1,131,0,170,1694,5647,64.0,5.3602916786323946e-05
1361,SAGAR,75,61,2,126,0,126,214,170,0,0,2,23,0.0,439,267,172,85,12,28,0,26,307,35,405,10,175,0,275,3926,7674,264.0,0.0001752687057474
1362,SAHARANPUR,92,91,22,73,2,71,273,220,50,8,1,110,0.0,793,459,334,205,48,214,3,0,20,28,167,0,194,0,195,1322,4184,106.0,0.0002766492054992
1363,SAHARSA,41,118,0,14,0,14,115,94,19,1,0,27,0.0,289,83,206,549,3,148,1,5,36,19,0,0,70,0,46,1603,3189,46.0,0.0001391516360582
1364,SAHEBGANJ,72,29,0,87,0,87,68,40,25,3,0,9,0.0,116,26,90,69,0,89,0,2,0,4,20,0,75,0,28,827,1522,10.0,7.723243989056276e-05
1365,SAIHA,4,0,0,4,0,4,0,0,0,0,0,0,0.0,27,2,25,0,0,2,1,1,3,0,2,0,0,0,2,10,73,16.0,6.274951135458971e-06
1366,SALEM,58,56,4,6,0,6,48,33,5,1,1,24,0.0,142,56,86,91,1,67,2,30,15,7,46,0,22,0,493,1933,4696,78.0,6.001242492834873e-05
1367,SALEM CITY,36,30,1,5,0,5,23,15,8,2,0,59,0.0,261,145,116,44,9,41,0,2,573,1,12,21,33,0,198,2243,4504,76.0,7.137428728763689e-05
1368,SAMASTIPUR,122,205,15,38,0,38,255,173,0,18,1,61,0.0,567,361,206,380,45,124,0,15,285,39,0,0,184,0,110,3035,5664,119.0,0.0002290422802006
1369,SAMBA,4,20,0,7,0,7,12,0,6,0,0,1,0.0,33,20,13,34,2,10,1,4,8,0,10,0,8,0,1,161,653,29.0,1.3931572996874128e-05
1370,SAMBALPUR,48,79,1,81,0,81,98,0,35,18,7,123,0.0,567,184,383,74,15,48,1,16,687,10,108,9,44,0,189,490,3391,297.0,0.0001605658913715
1371,SAMBHAL,73,80,19,48,0,48,146,117,19,9,0,45,0.0,293,130,163,68,29,87,0,0,29,26,72,0,106,0,102,700,2087,56.0,0.0001233854931426
1372,SANGLI,50,47,1,66,0,66,68,32,15,11,6,63,0.0,608,210,398,218,19,197,6,22,136,6,157,5,108,0,309,2359,5171,227.0,0.0001789050268029
1373,SANGRUR,42,46,4,57,0,57,58,46,12,1,1,3,0.0,196,66,130,0,11,148,0,3,231,7,54,0,85,0,173,546,1935,128.0,7.827279528279104e-05
1374,SANT KABIRNAGAR,28,3,13,23,0,23,39,37,0,1,0,10,0.0,59,25,34,22,14,30,0,0,146,11,25,0,0,0,69,150,727,23.0,3.388211062891131e-05
1375,SARAIKELA,58,19,0,31,0,31,41,2,38,3,0,11,0.0,207,70,137,18,45,21,0,4,10,7,27,0,27,0,106,243,1108,47.0,6.618235596112219e-05
1376,SARAN,144,331,0,37,0,37,249,160,0,16,0,53,0.0,617,105,512,442,12,211,1,36,424,83,0,0,157,0,145,2431,5586,196.0,0.0002418777058757
1377,SARGUJA,61,13,2,94,0,94,51,0,20,0,0,16,0.0,124,50,74,0,5,26,0,12,61,4,76,0,23,0,156,654,1835,82.0,6.365202786204329e-05
1378,SATARA,67,39,9,97,0,97,88,39,8,46,5,234,0.0,1254,445,809,340,24,155,10,26,142,4,241,12,188,0,470,1557,6062,408.0,0.0003264156066593
1379,SATNA,69,63,0,187,0,187,451,248,203,4,2,67,0.0,495,262,233,68,17,37,1,25,649,30,254,24,116,0,370,4220,7539,379.0,0.0002463968521694
1380,SAWAI MADHOPUR,23,38,0,70,0,70,114,35,59,5,2,15,0.0,635,441,194,0,4,325,1,8,0,0,96,0,297,0,109,2133,4212,47.0,0.0001820195292232
1381,SEALDAH G. R. P.,23,11,0,7,0,7,20,0,20,0,43,0,0.0,346,2,344,5,2,10,0,0,59,1,46,4,1,0,0,30,655,0.0,6.980554950377214e-05
1382,SECUNDERABAD RAILWAY,4,2,0,2,0,2,1,0,0,0,0,3,0.0,760,0,760,0,2,4,2,0,0,0,5,0,0,0,1,72,860,1.0,0.0001267428545503
1383,SEHORE,33,46,7,124,0,124,149,69,9,0,0,21,0.0,472,262,210,39,17,25,1,17,61,12,162,6,158,0,202,2090,5006,267.0,0.0001518525047268
1384,SENAPATI,5,6,2,1,0,1,11,1,10,0,0,3,0.0,11,1,10,3,2,2,0,2,2,0,2,0,0,0,0,35,121,2.0,5.6645217885994685e-06
1385,SEONI,29,11,4,83,0,83,155,0,155,0,0,5,0.0,181,83,98,19,2,41,0,11,77,9,137,3,47,0,142,1745,3484,114.0,8.668424913225828e-05
1386,SERCHHIP,2,0,1,12,0,12,0,0,0,0,0,1,0.0,37,3,34,0,2,2,0,3,4,0,3,0,0,0,4,6,98,17.0,9.583084370052404e-06
1387,SHAHDOL,36,24,2,122,0,122,200,41,35,1,0,32,0.0,334,103,231,26,4,39,1,16,92,16,272,3,336,0,114,2669,5240,277.0,0.000127005404807
1388,SHAHJAHANPUR,88,136,35,83,0,83,210,193,0,4,0,62,0.0,281,122,159,42,47,118,2,4,282,61,181,1,127,0,241,797,3106,59.0,0.0001499588610002
1389,SHAJAPUR,20,25,0,68,0,68,47,20,11,0,2,15,0.0,314,136,178,29,19,13,1,17,99,7,139,0,130,0,110,2089,3754,141.0,8.867634920507396e-05
1390,SHAMLI,67,76,11,32,0,32,100,0,22,5,0,54,0.0,329,204,125,103,18,73,0,0,43,18,58,0,87,0,44,432,1674,49.0,0.0001107010338651
1391,SHEIKHPURA,26,0,0,5,0,5,51,34,11,4,0,11,0.0,113,25,88,136,4,93,0,12,72,6,18,0,72,0,25,641,1325,36.0,5.158127980962796e-05
1392,SHEOHAR,13,35,0,8,0,8,33,24,5,5,0,9,0.0,89,16,73,62,6,22,0,1,9,6,16,0,14,0,10,381,778,22.0,3.37016073274206e-05
1393,SHEOPUR,18,15,1,23,0,23,36,22,0,3,1,6,0.0,92,36,56,26,3,11,0,5,72,5,57,4,37,0,40,912,1578,47.0,3.4499103732188654e-05
1394,SHIMLA,18,15,3,39,0,39,39,25,0,0,0,6,0.0,116,47,69,78,20,45,0,10,35,0,64,10,27,0,134,842,1957,149.0,4.980578369860112e-05
1395,SHIMOGA,50,50,2,58,0,58,54,1,15,12,1,60,0.0,326,148,178,350,7,236,0,26,38,8,404,7,228,0,287,1799,6043,312.0,0.0001344585502195
1396,SHIVPURI,55,55,6,101,0,101,172,0,168,3,20,52,0.0,389,170,219,63,11,54,1,43,230,11,269,4,111,0,210,2891,5836,207.0,0.0001458893320212
1397,SHOPIAN,5,39,0,1,0,1,37,28,0,0,0,6,0.0,49,5,44,74,2,2,0,3,0,0,30,0,2,0,10,180,501,17.0,2.3458865437374852e-05
1398,SHRAWASTI,15,10,9,5,0,5,40,35,5,0,0,5,0.0,49,17,32,16,5,65,0,0,165,9,31,0,0,0,39,275,801,35.0,2.704924019793559e-05
1399,SIANG EAST,5,0,1,11,0,11,4,0,2,0,0,3,0.0,49,12,37,0,2,5,0,9,23,0,21,0,4,0,10,48,245,20.0,1.2996237707331345e-05
1400,SIANG UPPER,1,0,0,1,0,1,0,0,0,1,0,0,0.0,8,2,6,0,1,1,0,1,2,0,1,0,0,0,2,12,40,8.0,1.919898752219403e-06
1401,SIANG WEST,10,4,0,6,0,6,2,0,1,0,0,4,0.0,29,4,25,4,7,13,0,2,30,0,11,3,8,0,6,71,249,18.0,1.01180305181067e-05
1402,SIBSAGAR,80,38,3,44,0,44,222,177,45,3,0,42,0.0,599,177,422,31,136,95,8,29,811,6,153,0,333,0,67,1275,4236,196.0,0.0001930663312744
